outcome,control_group,variable,estimate,std_error,t_value,p_value,ci_2_5,ci_97_5,n_obs
has_reject_cite,all,ai_core,-0.24266269256619424,0.06680391703518462,-3.6324620371944274,0.0003042327896041197,-0.3738549934387831,-0.1114703916936054,1415812
has_reject_cite,all,ai_x_post,0.03087684234425621,0.0038539268538011944,8.011787331615245,5.773159728050814e-15,0.023308341067923247,0.03844534362058917,1415812
has_reject_cite,all,post2018,,,,,,,1415812
has_reject_cite,broad_noncore,ai_core,-0.25553137019434913,0.0694813961422307,-3.677694813029779,0.00038998159740843974,-0.39346938161093215,-0.11759335877776611,140914
has_reject_cite,broad_noncore,ai_x_post,0.021188061515483473,0.007771525859820127,2.7263708437269325,0.0076258316501713885,0.005759632003477951,0.036616491027489,140914
has_reject_cite,broad_noncore,post2018,,,,,,,140914
has_reject_cite,software,ai_core,-0.25553137019434913,0.0694813961422307,-3.677694813029779,0.00038998159740843974,-0.39346938161093215,-0.11759335877776611,140914
has_reject_cite,software,ai_x_post,0.021188061515483473,0.007771525859820127,2.7263708437269325,0.0076258316501713885,0.005759632003477951,0.036616491027489,140914
has_reject_cite,software,post2018,,,,,,,140914
log1p_applicant_count,all,ai_core,-0.017791398860056207,0.005250347617853187,-3.388613508095856,0.0007475176143048046,-0.028102249105623277,-0.0074805486144891385,1415812
log1p_applicant_count,all,ai_x_post,-0.0057357551335442845,0.0007280313318993026,-7.878445449017603,1.509903313490213e-14,-0.007165493235411876,-0.004306017031676693,1415812
log1p_applicant_count,all,post2018,,,,,,,1415812
log1p_applicant_count,broad_noncore,ai_core,-0.011688239050835419,0.005049591741469194,-2.3146899094528957,0.022783697155667193,-0.02171294612289885,-0.0016635319787719864,140914
log1p_applicant_count,broad_noncore,ai_x_post,-0.005019400966651962,0.001073476529436023,-4.675836712786842,9.668739419987915e-06,-0.007150521323958388,-0.0028882806093455354,140914
log1p_applicant_count,broad_noncore,post2018,,,,,,,140914
log1p_applicant_count,software,ai_core,-0.011688239050835419,0.005049591741469194,-2.3146899094528957,0.022783697155667193,-0.02171294612289885,-0.0016635319787719864,140914
log1p_applicant_count,software,ai_x_post,-0.005019400966651962,0.001073476529436023,-4.675836712786842,9.668739419987915e-06,-0.007150521323958388,-0.0028882806093455354,140914
log1p_applicant_count,software,post2018,,,,,,,140914
log1p_backward_cites,all,ai_core,-0.34392053636920333,0.10549398646505664,-3.2600961238972803,0.001175435891390686,-0.5510939990462976,-0.13674707369210903,1415812
log1p_backward_cites,all,ai_x_post,-0.022745190291179197,0.011146845481010895,-2.0405046728176646,0.04172803629504296,-0.0446358274128741,-0.0008545531694842991,1415812
log1p_backward_cites,all,post2018,,,,,,,1415812
